Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Alaska"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
" -> Total","737068","384845","352223"
" -> Total -> Total Alaska","737068","384845","352223"
"N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)","272627","130608","142019"
"MGR-General And Operations Managers","2233","1412","821"
"MGR-Chief Executives And Legislators","3986","2230","1756"
"MGR-Advertising And Promotions Managers","74","0","74"
"MGR-Marketing Managers","178","30","148"
"MGR-Sales Managers","374","66","308"
"MGR-Public Relations And Fundraising Managers","134","1","133"
"MGR-Administrative Services Managers","218","24","194"
"MGR-Facilities Managers","593","280","313"
"MGR-Computer And Information Systems Managers","1338","1223","115"
"MGR-Financial Managers","1990","535","1455"
"MGR-Industrial Production Managers","451","396","55"
"MGR-Purchasing Managers","497","288","209"
"MGR-Transportation, Storage, And Distribution Managers","1271","1236","35"
"MGR-Compensation And Benefits Managers","39","11","28"
"MGR-Human Resources Managers","775","248","527"
"MGR-Training And Development Managers","368","75","293"
"MGR-Farmers, Ranchers, And Other Agricultural Managers","886","711","175"
"MGR-Construction Managers","2479","2438","41"
"MGR-Education And Childcare Administrators","2134","990","1144"
"MGR-Architectural And Engineering Managers","316","287","29"
"MGR-Food Service Managers","2440","1068","1372"
"MGR-Entertainment And Recreation Managers","553","186","367"
"MGR-Lodging Managers","1207","394","813"
"MGR-Medical And Health Services Managers","1898","702","1196"
"MGR-Natural Sciences Managers","63","32","31"
"MGR-Property, Real Estate, And Community Association Managers","1426","695","731"
"MGR-Social And Community Service Managers","1281","554","727"
"MGR-Emergency Management Directors","168","157","11"
"MGR-Other Managers","12407","7909","4498"
"BUS-Agents And Business Managers Of Artists, Performers, And Athletes","19","0","19"
"BUS-Buyers And Purchasing Agents, Farm Products","0","0","0"
"BUS-Wholesale And Retail Buyers, Except Farm Products","528","107","421"
"BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products","635","314","321"
"BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","261","45","216"
"BUS-Compliance Officers","1014","693","321"
"BUS-Cost Estimators","643","556","87"
"BUS-Human Resources Workers","1869","499","1370"
"BUS-Logisticians","658","511","147"
"BUS-Project Management Specialists","1384","953","431"
"BUS-Management Analysts","1342","853","489"
"BUS-Meeting, Convention, And Event Planners","212","35","177"
"BUS-Fundraisers","97","0","97"
"BUS-Compensation, Benefits, And Job Analysis Specialists","94","0","94"
"BUS-Training And Development Specialists","417","295","122"
"BUS-Market Research Analysts And Marketing Specialists","109","41","68"
"BUS-Business Operations Specialists, All Other","746","387","359"
"FIN-Accountants And Auditors","4382","838","3544"
"FIN-Property Appraisers And Assessors","131","115","16"
"FIN-Budget Analysts","223","51","172"
"FIN-Credit Analysts","0","0","0"
"FIN-Financial And Investment Analysts","400","262","138"
"FIN-Personal Financial Advisors","630","475","155"
"FIN-Insurance Underwriters","230","63","167"
"FIN-Financial Examiners","0","0","0"
"FIN-Credit Counselors And Loan Officers","610","156","454"
"FIN-Tax Examiners And Collectors, And Revenue Agents","72","0","72"
"FIN-Tax Preparers","241","140","101"
"FIN-Other Financial Specialists","163","63","100"
"CMM-Computer Systems Analysts","429","232","197"
"CMM-Information Security Analysts","236","134","102"
"CMM-Computer And Information Research Scientists","0","0","0"
"CMM-Computer Support Specialists","1295","1125","170"
"CMM-Computer Network Architects","17","17","0"
"CMM-Network And Computer Systems Administrators","629","572","57"
"CMM-Database Administrators And Architects","277","218","59"
"CMM-Computer Programmers","557","524","33"
"CMM-Software Developers","805","709","96"
"CMM-Software Quality Assurance Analysts And Testers","45","22","23"
"CMM-Web Developers","297","179","118"
"CMM-Web And Digital Interface Designers","100","82","18"
"CMM-Computer Occupations, All Other","1825","1461","364"
"CMM-Actuaries","0","0","0"
"CMM-Operations Research Analysts","416","66","350"
"CMM-Other Mathematical Science Occupations","298","198","100"
"ENG-Architects, Except Landscape And Naval","383","283","100"
"ENG-Landscape Architects","182","137","45"
"ENG-Surveyors, Cartographers, And Photogrammetrists","481","315","166"
"ENG-Aerospace Engineers","213","213","0"
"ENG-Chemical Engineers","17","9","8"
"ENG-Civil Engineers","1676","1187","489"
"ENG-Computer Hardware Engineers","5","5","0"
"ENG-Electrical And Electronics Engineers","530","422","108"
"ENG-Environmental Engineers","66","66","0"
"ENG-Biomedical And Agricultural Engineers","0","0","0"
"ENG-Industrial Engineers, Including Health And Safety","248","248","0"
"ENG-Marine Engineers And Naval Architects","68","68","0"
"ENG-Materials Engineers","15","15","0"
"ENG-Mechanical Engineers","327","239","88"
"ENG-Petroleum, Mining And Geological Engineers, Including Mining Safety Engineers","901","682","219"
"ENG-Other Engineers","1116","929","187"
"ENG-Architectural And Civil Drafters","155","155","0"
"ENG-Other Drafters","228","121","107"
"ENG-Electrical and Electronic Engineering Technologists And Technicians","333","321","12"
"ENG-Other Engineering Technologists And Technicians, Except Drafters","1642","1297","345"
"ENG-Surveying And Mapping Technicians","536","524","12"
"SCI-Agricultural And Food Scientists","142","50","92"
"SCI-Biological Scientists","1181","637","544"
"SCI-Conservation Scientists And Foresters","124","51","73"
"SCI-Other Life Scientists","117","0","117"
"SCI-Astronomers And Physicists","0","0","0"
"SCI-Atmospheric And Space Scientists","72","17","55"
"SCI-Chemists And Materials Scientists","119","19","100"
"SCI-Environmental Scientists And Specialists, Including Health","486","256","230"
"SCI-Geoscientists And Hydrologists, Except Geographers","765","495","270"
"SCI-Physical Scientists, All Other","482","263","219"
"SCI-Economists","121","46","75"
"SCI-Clinical And Counseling Psychologists","61","53","8"
"SCI-School Psychologists","126","92","34"
"SCI-Other Psychologists","474","89","385"
"SCI-Urban And Regional Planners","84","10","74"
"SCI-Other Social Scientists","450","195","255"
"SCI-Agricultural And Food Science Technicians","50","14","36"
"SCI-Biological Technicians","211","176","35"
"SCI-Chemical Technicians","260","260","0"
"SCI-Environmental Science And Geoscience Technicians, And Nuclear Technicians","482","431","51"
"SCI-Other Life, Physical, And Social Science Technicians","1101","519","582"
"SCI-Occupational Health And Safety Specialists And Technicians","744","472","272"
"CMS-Substance Abuse And Behavioral Disorder Counselors","397","234","163"
"CMS-Educational, Guidance, And Career Counselors And Advisors","1145","254","891"
"CMS-Marriage And Family Therapists","181","151","30"
"CMS-Mental Health Counselors","427","321","106"
"CMS-Rehabilitation Counselors","95","0","95"
"CMS-Counselors, All Other","905","329","576"
"CMS-Child, Family, And School Social Workers","390","70","320"
"CMS-Healthcare Social Workers","459","321","138"
"CMS-Mental Health And Substance Abuse Social Workers","80","43","37"
"CMS-Social Workers, All Other","2102","733","1369"
"CMS-Probation Officers And Correctional Treatment Specialists","533","244","289"
"CMS-Social And Human Service Assistants","982","250","732"
"CMS-Other Community And Social Service Specialists","652","60","592"
"CMS-Clergy","1192","1067","125"
"CMS-Directors, Religious Activities And Education","159","12","147"
"CMS-Religious Workers, All Other","250","75","175"
"LGL-Judicial Law Clerks","56","27","29"
"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers","2478","1257","1221"
"LGL-Paralegals And Legal Assistants","752","139","613"
"LGL-Title Examiners, Abstractors, And Searchers","83","68","15"
"LGL-Legal Support Workers, All Other","154","22","132"
"EDU-Postsecondary Teachers","2553","1438","1115"
"EDU-Preschool And Kindergarten Teachers","1752","126","1626"
"EDU-Elementary And Middle School Teachers","10389","2911","7478"
"EDU-Secondary School Teachers","2428","1022","1406"
"EDU-Special Education Teachers","1148","221","927"
"EDU-Tutors","494","65","429"
"EDU-Other Teachers And Instructors","2054","764","1290"
"EDU-Archivists, Curators, And Museum Technicians","189","155","34"
"EDU-Librarians And Media Collections Specialists","437","45","392"
"EDU-Library Technicians","445","39","406"
