Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Alabama"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
" -> Total","4876250","2358150","2518100"
" -> Total -> Total Alabama","4876250","2358150","2518100"
"N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)","2199760","992231","1207529"
"MGR-General And Operations Managers","13572","10065","3507"
"MGR-Chief Executives And Legislators","15505","11859","3646"
"MGR-Advertising And Promotions Managers","353","223","130"
"MGR-Marketing Managers","4697","1968","2729"
"MGR-Sales Managers","5692","3769","1923"
"MGR-Public Relations And Fundraising Managers","855","262","593"
"MGR-Administrative Services Managers","609","181","428"
"MGR-Facilities Managers","1500","1329","171"
"MGR-Computer And Information Systems Managers","6434","4603","1831"
"MGR-Financial Managers","17397","6999","10398"
"MGR-Industrial Production Managers","4538","3934","604"
"MGR-Purchasing Managers","4043","2106","1937"
"MGR-Transportation, Storage, And Distribution Managers","5151","4509","642"
"MGR-Compensation And Benefits Managers","139","12","127"
"MGR-Human Resources Managers","5876","2177","3699"
"MGR-Training And Development Managers","1421","722","699"
"MGR-Farmers, Ranchers, And Other Agricultural Managers","8413","7071","1342"
"MGR-Construction Managers","12080","11402","678"
"MGR-Education And Childcare Administrators","14567","4624","9943"
"MGR-Architectural And Engineering Managers","1825","1585","240"
"MGR-Food Service Managers","16637","7168","9469"
"MGR-Entertainment And Recreation Managers","962","447","515"
"MGR-Lodging Managers","1439","728","711"
"MGR-Medical And Health Services Managers","9620","2457","7163"
"MGR-Natural Sciences Managers","65","49","16"
"MGR-Property, Real Estate, And Community Association Managers","7545","2825","4720"
"MGR-Social And Community Service Managers","4972","1375","3597"
"MGR-Emergency Management Directors","215","150","65"
"MGR-Other Managers","51606","36016","15590"
"BUS-Agents And Business Managers Of Artists, Performers, And Athletes","619","413","206"
"BUS-Buyers And Purchasing Agents, Farm Products","109","93","16"
"BUS-Wholesale And Retail Buyers, Except Farm Products","2815","1558","1257"
"BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products","5181","2482","2699"
"BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","6348","2491","3857"
"BUS-Compliance Officers","3894","2005","1889"
"BUS-Cost Estimators","2233","1860","373"
"BUS-Human Resources Workers","10411","2689","7722"
"BUS-Logisticians","4693","3060","1633"
"BUS-Project Management Specialists","7089","4386","2703"
"BUS-Management Analysts","8005","4862","3143"
"BUS-Meeting, Convention, And Event Planners","1636","453","1183"
"BUS-Fundraisers","716","102","614"
"BUS-Compensation, Benefits, And Job Analysis Specialists","734","138","596"
"BUS-Training And Development Specialists","3004","1314","1690"
"BUS-Market Research Analysts And Marketing Specialists","1981","688","1293"
"BUS-Business Operations Specialists, All Other","3717","1819","1898"
"FIN-Accountants And Auditors","26235","8288","17947"
"FIN-Property Appraisers And Assessors","1181","945","236"
"FIN-Budget Analysts","1480","517","963"
"FIN-Credit Analysts","325","161","164"
"FIN-Financial And Investment Analysts","1341","623","718"
"FIN-Personal Financial Advisors","3865","2430","1435"
"FIN-Insurance Underwriters","787","253","534"
"FIN-Financial Examiners","118","65","53"
"FIN-Credit Counselors And Loan Officers","4457","1196","3261"
"FIN-Tax Examiners And Collectors, And Revenue Agents","519","170","349"
"FIN-Tax Preparers","2575","518","2057"
"FIN-Other Financial Specialists","1195","619","576"
"CMM-Computer Systems Analysts","6201","3883","2318"
"CMM-Information Security Analysts","1663","1309","354"
"CMM-Computer And Information Research Scientists","278","223","55"
"CMM-Computer Support Specialists","8752","5523","3229"
"CMM-Computer Network Architects","1225","1098","127"
"CMM-Network And Computer Systems Administrators","2552","2199","353"
"CMM-Database Administrators And Architects","1453","854","599"
"CMM-Computer Programmers","5560","3948","1612"
"CMM-Software Developers","12203","9720","2483"
"CMM-Software Quality Assurance Analysts And Testers","1615","1009","606"
"CMM-Web Developers","1169","755","414"
"CMM-Web And Digital Interface Designers","546","279","267"
"CMM-Computer Occupations, All Other","9918","7115","2803"
"CMM-Actuaries","96","22","74"
"CMM-Operations Research Analysts","1598","759","839"
"CMM-Other Mathematical Science Occupations","582","354","228"
"ENG-Architects, Except Landscape And Naval","1243","960","283"
"ENG-Landscape Architects","259","187","72"
"ENG-Surveyors, Cartographers, And Photogrammetrists","970","728","242"
"ENG-Aerospace Engineers","3345","3155","190"
"ENG-Chemical Engineers","744","615","129"
"ENG-Civil Engineers","7211","5832","1379"
"ENG-Computer Hardware Engineers","710","612","98"
"ENG-Electrical And Electronics Engineers","3018","2600","418"
"ENG-Environmental Engineers","414","340","74"
"ENG-Biomedical And Agricultural Engineers","95","95","0"
"ENG-Industrial Engineers, Including Health And Safety","3677","2935","742"
"ENG-Marine Engineers And Naval Architects","382","336","46"
"ENG-Materials Engineers","862","753","109"
"ENG-Mechanical Engineers","4103","3903","200"
"ENG-Petroleum, Mining And Geological Engineers, Including Mining Safety Engineers","231","226","5"
"ENG-Other Engineers","10110","8692","1418"
"ENG-Architectural And Civil Drafters","728","473","255"
"ENG-Other Drafters","2035","1595","440"
"ENG-Electrical and Electronic Engineering Technologists And Technicians","1891","1727","164"
"ENG-Other Engineering Technologists And Technicians, Except Drafters","5952","4740","1212"
"ENG-Surveying And Mapping Technicians","1194","1060","134"
"SCI-Agricultural And Food Scientists","112","76","36"
"SCI-Biological Scientists","1153","360","793"
"SCI-Conservation Scientists And Foresters","651","629","22"
"SCI-Other Life Scientists","1061","594","467"
"SCI-Astronomers And Physicists","152","124","28"
"SCI-Atmospheric And Space Scientists","382","340","42"
"SCI-Chemists And Materials Scientists","1158","734","424"
"SCI-Environmental Scientists And Specialists, Including Health","586","343","243"
"SCI-Geoscientists And Hydrologists, Except Geographers","572","410","162"
"SCI-Physical Scientists, All Other","1605","1144","461"
"SCI-Economists","152","111","41"
"SCI-Clinical And Counseling Psychologists","217","80","137"
"SCI-School Psychologists","314","14","300"
"SCI-Other Psychologists","602","292","310"
"SCI-Urban And Regional Planners","105","53","52"
"SCI-Other Social Scientists","535","262","273"
"SCI-Agricultural And Food Science Technicians","530","281","249"
"SCI-Biological Technicians","154","67","87"
"SCI-Chemical Technicians","2404","1850","554"
"SCI-Environmental Science And Geoscience Technicians, And Nuclear Technicians","400","213","187"
"SCI-Other Life, Physical, And Social Science Technicians","2975","1430","1545"
"SCI-Occupational Health And Safety Specialists And Technicians","1314","727","587"
"CMS-Substance Abuse And Behavioral Disorder Counselors","1217","462","755"
"CMS-Educational, Guidance, And Career Counselors And Advisors","5481","952","4529"
"CMS-Marriage And Family Therapists","369","99","270"
"CMS-Mental Health Counselors","1585","230","1355"
"CMS-Rehabilitation Counselors","595","92","503"
"CMS-Counselors, All Other","3639","1048","2591"
"CMS-Child, Family, And School Social Workers","1251","139","1112"
"CMS-Healthcare Social Workers","1202","140","1062"
"CMS-Mental Health And Substance Abuse Social Workers","516","100","416"
"CMS-Social Workers, All Other","9011","1198","7813"
"CMS-Probation Officers And Correctional Treatment Specialists","1118","598","520"
"CMS-Social And Human Service Assistants","2235","357","1878"
"CMS-Other Community And Social Service Specialists","1123","507","616"
"CMS-Clergy","12256","10613","1643"
"CMS-Directors, Religious Activities And Education","1484","522","962"
"CMS-Religious Workers, All Other","1975","732","1243"
"LGL-Judicial Law Clerks","220","88","132"
"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers","12568","8180","4388"
"LGL-Paralegals And Legal Assistants","5772","929","4843"
"LGL-Title Examiners, Abstractors, And Searchers","1486","321","1165"
"LGL-Legal Support Workers, All Other","724","312","412"
"EDU-Postsecondary Teachers","24261","12005","12256"
"EDU-Preschool And Kindergarten Teachers","15936","182","15754"
"EDU-Elementary And Middle School Teachers","60089","10166","49923"
"EDU-Secondary School Teachers","14124","5075","9049"
