Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Arizona"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
" -> Total","7050299","3504636","3545663"
" -> Total -> Total Arizona","7050299","3504636","3545663"
"N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)","3062961","1413270","1649691"
"MGR-General And Operations Managers","24246","16082","8164"
"MGR-Chief Executives And Legislators","29725","21762","7963"
"MGR-Advertising And Promotions Managers","1086","660","426"
"MGR-Marketing Managers","10611","4298","6313"
"MGR-Sales Managers","11810","8134","3676"
"MGR-Public Relations And Fundraising Managers","1394","679","715"
"MGR-Administrative Services Managers","1499","618","881"
"MGR-Facilities Managers","2507","1995","512"
"MGR-Computer And Information Systems Managers","14134","10202","3932"
"MGR-Financial Managers","31475","13612","17863"
"MGR-Industrial Production Managers","5155","3632","1523"
"MGR-Purchasing Managers","5372","2589","2783"
"MGR-Transportation, Storage, And Distribution Managers","5025","3865","1160"
"MGR-Compensation And Benefits Managers","495","55","440"
"MGR-Human Resources Managers","9859","3757","6102"
"MGR-Training And Development Managers","1117","507","610"
"MGR-Farmers, Ranchers, And Other Agricultural Managers","5871","4707","1164"
"MGR-Construction Managers","20135","18602","1533"
"MGR-Education And Childcare Administrators","19990","7833","12157"
"MGR-Architectural And Engineering Managers","3950","3626","324"
"MGR-Food Service Managers","23915","12425","11490"
"MGR-Entertainment And Recreation Managers","1955","1016","939"
"MGR-Lodging Managers","3474","1543","1931"
"MGR-Medical And Health Services Managers","15283","4359","10924"
"MGR-Natural Sciences Managers","263","167","96"
"MGR-Property, Real Estate, And Community Association Managers","17340","7418","9922"
"MGR-Social And Community Service Managers","7693","2005","5688"
"MGR-Emergency Management Directors","200","59","141"
"MGR-Other Managers","88792","55660","33132"
"BUS-Agents And Business Managers Of Artists, Performers, And Athletes","793","451","342"
"BUS-Buyers And Purchasing Agents, Farm Products","224","170","54"
"BUS-Wholesale And Retail Buyers, Except Farm Products","4944","2442","2502"
"BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products","5677","2386","3291"
"BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","12166","5482","6684"
"BUS-Compliance Officers","6433","3152","3281"
"BUS-Cost Estimators","3883","3534","349"
"BUS-Human Resources Workers","19591","4733","14858"
"BUS-Logisticians","2905","2264","641"
"BUS-Project Management Specialists","14473","8897","5576"
"BUS-Management Analysts","20944","12684","8260"
"BUS-Meeting, Convention, And Event Planners","3035","1024","2011"
"BUS-Fundraisers","1644","477","1167"
"BUS-Compensation, Benefits, And Job Analysis Specialists","1301","174","1127"
"BUS-Training And Development Specialists","5306","2703","2603"
"BUS-Market Research Analysts And Marketing Specialists","7470","3538","3932"
"BUS-Business Operations Specialists, All Other","7654","3389","4265"
"FIN-Accountants And Auditors","40416","15585","24831"
"FIN-Property Appraisers And Assessors","2455","1477","978"
"FIN-Budget Analysts","1086","503","583"
"FIN-Credit Analysts","478","187","291"
"FIN-Financial And Investment Analysts","4272","2444","1828"
"FIN-Personal Financial Advisors","10227","6986","3241"
"FIN-Insurance Underwriters","3665","1392","2273"
"FIN-Financial Examiners","281","165","116"
"FIN-Credit Counselors And Loan Officers","13900","6768","7132"
"FIN-Tax Examiners And Collectors, And Revenue Agents","737","304","433"
"FIN-Tax Preparers","3960","1678","2282"
"FIN-Other Financial Specialists","1548","731","817"
"CMM-Computer Systems Analysts","12406","7322","5084"
"CMM-Information Security Analysts","2447","1997","450"
"CMM-Computer And Information Research Scientists","360","302","58"
"CMM-Computer Support Specialists","19391","14778","4613"
"CMM-Computer Network Architects","2087","1896","191"
"CMM-Network And Computer Systems Administrators","5393","4472","921"
"CMM-Database Administrators And Architects","3141","1806","1335"
"CMM-Computer Programmers","8789","6943","1846"
"CMM-Software Developers","25087","21061","4026"
"CMM-Software Quality Assurance Analysts And Testers","2373","1556","817"
"CMM-Web Developers","2693","1866","827"
"CMM-Web And Digital Interface Designers","1948","1008","940"
"CMM-Computer Occupations, All Other","17599","12660","4939"
"CMM-Actuaries","449","314","135"
"CMM-Operations Research Analysts","3129","1652","1477"
"CMM-Other Mathematical Science Occupations","2325","1047","1278"
"ENG-Architects, Except Landscape And Naval","3716","3104","612"
"ENG-Landscape Architects","757","512","245"
"ENG-Surveyors, Cartographers, And Photogrammetrists","853","729","124"
"ENG-Aerospace Engineers","8123","7056","1067"
"ENG-Chemical Engineers","451","316","135"
"ENG-Civil Engineers","7722","6582","1140"
"ENG-Computer Hardware Engineers","1370","948","422"
"ENG-Electrical And Electronics Engineers","7776","7351","425"
"ENG-Environmental Engineers","691","599","92"
"ENG-Biomedical And Agricultural Engineers","438","294","144"
"ENG-Industrial Engineers, Including Health And Safety","4282","3389","893"
"ENG-Marine Engineers And Naval Architects","46","23","23"
"ENG-Materials Engineers","1543","1406","137"
"ENG-Mechanical Engineers","4623","4379","244"
"ENG-Petroleum, Mining And Geological Engineers, Including Mining Safety Engineers","682","636","46"
"ENG-Other Engineers","14980","12958","2022"
"ENG-Architectural And Civil Drafters","1500","1260","240"
"ENG-Other Drafters","2575","2221","354"
"ENG-Electrical and Electronic Engineering Technologists And Technicians","3217","2943","274"
"ENG-Other Engineering Technologists And Technicians, Except Drafters","8378","6768","1610"
"ENG-Surveying And Mapping Technicians","1873","1658","215"
"SCI-Agricultural And Food Scientists","275","217","58"
"SCI-Biological Scientists","1320","584","736"
"SCI-Conservation Scientists And Foresters","383","145","238"
"SCI-Other Life Scientists","1587","922","665"
"SCI-Astronomers And Physicists","219","133","86"
"SCI-Atmospheric And Space Scientists","371","305","66"
"SCI-Chemists And Materials Scientists","1501","887","614"
"SCI-Environmental Scientists And Specialists, Including Health","426","250","176"
"SCI-Geoscientists And Hydrologists, Except Geographers","694","587","107"
"SCI-Physical Scientists, All Other","3664","2025","1639"
"SCI-Economists","440","326","114"
"SCI-Clinical And Counseling Psychologists","525","164","361"
"SCI-School Psychologists","1308","324","984"
"SCI-Other Psychologists","2744","984","1760"
"SCI-Urban And Regional Planners","850","607","243"
"SCI-Other Social Scientists","1282","965","317"
"SCI-Agricultural And Food Science Technicians","582","303","279"
"SCI-Biological Technicians","390","229","161"
"SCI-Chemical Technicians","1224","942","282"
"SCI-Environmental Science And Geoscience Technicians, And Nuclear Technicians","846","524","322"
"SCI-Other Life, Physical, And Social Science Technicians","5281","2875","2406"
"SCI-Occupational Health And Safety Specialists And Technicians","1225","857","368"
"CMS-Substance Abuse And Behavioral Disorder Counselors","2485","984","1501"
"CMS-Educational, Guidance, And Career Counselors And Advisors","9181","2771","6410"
"CMS-Marriage And Family Therapists","715","122","593"
"CMS-Mental Health Counselors","2233","757","1476"
"CMS-Rehabilitation Counselors","900","357","543"
"CMS-Counselors, All Other","4933","1732","3201"
"CMS-Child, Family, And School Social Workers","2361","492","1869"
"CMS-Healthcare Social Workers","2052","489","1563"
"CMS-Mental Health And Substance Abuse Social Workers","888","126","762"
"CMS-Social Workers, All Other","13760","2740","11020"
"CMS-Probation Officers And Correctional Treatment Specialists","2922","1754","1168"
"CMS-Social And Human Service Assistants","5517","1510","4007"
"CMS-Other Community And Social Service Specialists","1946","672","1274"
"CMS-Clergy","8066","6496","1570"
"CMS-Directors, Religious Activities And Education","1578","711","867"
"CMS-Religious Workers, All Other","1768","622","1146"
"LGL-Judicial Law Clerks","693","303","390"
"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers","18785","11649","7136"
"LGL-Paralegals And Legal Assistants","9263","1577","7686"
"LGL-Title Examiners, Abstractors, And Searchers","2385","570","1815"
"LGL-Legal Support Workers, All Other","1242","410","832"
"EDU-Postsecondary Teachers","32808","16215","16593"
"EDU-Preschool And Kindergarten Teachers","12733","247","12486"
"EDU-Elementary And Middle School Teachers","75744","15493","60251"
"EDU-Secondary School Teachers","23006","9417","13589"
"EDU-Special Education Teachers","6556","634","5922"
"EDU-Tutors","6212","2737","3475"
"EDU-Other Teachers And Instructors","20279","9217","11062"
"EDU-Archivists, Curators, And Museum Technicians","1123","561","562"
"EDU-Librarians And Media Collections Specialists","3816","1014","2802"
"EDU-Library Technicians","1463","278","1185"
"EDU-Teaching Assistants","31894","5215","26679"
"EDU-Other Educational Instruction and Library Workers","3172","1017","2155"
"ENT-Artists And Related Workers","5383","2618","2765"
"ENT-Commercial And Industrial Designers","664","599","65"
"ENT-Fashion Designers","373","53","320"
"ENT-Floral Designers","1720","126","1594"
"ENT-Graphic Designers","6675","3501","3174"
"ENT-Interior Designers","2019","438","1581"
"ENT-Merchandise Displayers And Window Trimmers","356","172","184"
"ENT-Other Designers","8122","4833","3289"
"ENT-Actors","1015","570","445"
"ENT-Producers And Directors","2395","1574","821"
"ENT-Athletes And Sports Competitors","1965","1792","173"
"ENT-Coaches And Scouts","7303","3912","3391"
"ENT-Umpires, Referees, And Other Sports Officials","1299","1091","208"
"ENT-Dancers And Choreographers","762","46","716"
"ENT-Music Directors And Composers","881","464","417"
"ENT-Musicians And Singers","3500","2318","1182"
"ENT-Disc Jockeys, Except Radio","220","145","75"
"ENT-Entertainers And Performers, Sports And Related Workers, All Other","1062","450","612"
"ENT-Broadcast Announcers And Radio Disc Jockeys","996","766","230"
"ENT-News Analysts, Reporters, And Journalists","1318","705","613"
"ENT-Public Relations Specialists","2272","760","1512"
"ENT-Editors","3410","1405","2005"
"ENT-Technical Writers","1811","870","941"
"ENT-Writers And Authors","4995","1556","3439"
"ENT-Interpreters And Translators","3646","676","2970"
"ENT-Court Reporters And Simultaneous Captioners","908","163","745"
"ENT-Media And Communication Workers, All Other","625","406","219"
"ENT-Photographers","5408","2766","2642"
"ENT-Television, Video, And Film Camera Operators And Editors","1705","1242","463"
"ENT-Other Media And Communication Equipment Workers","1855","1563","292"
"MED-Chiropractors","1573","1287","286"
"MED-Dentists","4295","3352","943"
"MED-Dietitians And Nutritionists","2258","319","1939"
"MED-Optometrists","773","447","326"
"MED-Pharmacists","8603","4512","4091"
"MED-Physician Assistants","2371","860","1511"
"MED-Podiatrists","121","82","39"
"MED-Occupational Therapists","2011","227","1784"
"MED-Physical Therapists","5400","1830","3570"
"MED-Radiation Therapists","266","125","141"
"MED-Recreational Therapists","162","25","137"
"MED-Respiratory Therapists","3053","1293","1760"
"MED-Speech-Language Pathologists","3910","270","3640"
"MED-Other Therapists","4241","778","3463"
"MED-Veterinarians","1975","675","1300"
"MED-Registered Nurses","70972","8435","62537"
"MED-Nurse Anesthetists","424","230","194"
"MED-Audiologists","531","88","443"
"MED-Nurse Practitioners, And Nurse Midwives","3847","610","3237"
"MED-Physicians","18470","11879","6591"
"MED-Surgeons","1240","1058","182"
"MED-Acupuncturists","736","230","506"
"MED-Dental Hygienists","3967","301","3666"
"MED-Healthcare Diagnosing Or Treating Practitioners, All Other","539","172","367"
"MED-Clinical Laboratory Technologists And Technicians","7742","2695","5047"
"MED-Cardiovascular Technologists And Technicians","784","315","469"
"MED-Diagnostic Medical Sonographers","1695","536","1159"
"MED-Radiologic Technologists And Technicians","4382","1666","2716"
"MED-Magnetic Resonance Imaging Technologists","1121","536","585"
"MED-Nuclear Medicine Technologists And Medical Dosimetrists","428","184","244"
"MED-Emergency Medical Technicians","2746","1709","1037"
"MED-Paramedics","2040","1322","718"
"MED-Pharmacy Technicians","11599","3768","7831"
"MED-Psychiatric Technicians","2566","792","1774"
"MED-Surgical Technologists","3030","934","2096"
"MED-Veterinary Technologists And Technicians","3274","429","2845"
"MED-Dietetic Technicians And Ophthalmic Medical Technicians","647","103","544"
"MED-Licensed Practical And Licensed Vocational Nurses","11319","1759","9560"
"MED-Medical Records Specialists","5570","506","5064"
"MED-Opticians, Dispensing","1451","312","1139"
"MED-Miscellaneous Health Technologists And Technicians","4326","1462","2864"
"MED-Other Healthcare Practitioners And Technical Occupations","2147","925","1222"
"HLS-Home Health Aides","6561","1287","5274"
"HLS-Personal Care Aides","48033","8589","39444"
"HLS-Nursing Assistants","21127","3294","17833"
"HLS-Orderlies And Psychiatric Aides","1098","638","460"
"HLS-Occupational Therapy Assistants And Aides","890","60","830"
"HLS-Physical Therapist Assistants And Aides","2426","1257","1169"
"HLS-Massage Therapists","6970","823","6147"
"HLS-Dental Assistants","8648","573","8075"
"HLS-Medical Assistants","17536","2066","15470"
"HLS-Medical Transcriptionists","2293","437","1856"
"HLS-Pharmacy Aides","1242","345","897"
"HLS-Veterinary Assistants And Laboratory Animal Caretakers","1805","250","1555"
"HLS-Phlebotomists","3248","727","2521"
"HLS-Other Healthcare Support Workers","4041","1502","2539"
"PRT-First-Line Supervisors Of Correctional Officers","1632","1314","318"
"PRT-First-Line Supervisors Of Police And Detectives","3230","2723","507"
"PRT-First-Line Supervisors Of Firefighting And Prevention Workers","1696","1660","36"
"PRT-Miscellaneous First-Line Supervisors, Protective Service Workers","2552","2070","482"
"PRT-Firefighters","8320","7853","467"
"PRT-Fire Inspectors","489","375","114"
"PRT-Bailiffs","710","482","228"
"PRT-Correctional Officers And Jailers","11919","8692","3227"
"PRT-Detectives And Criminal Investigators","3927","2634","1293"
"PRT-Police Officers","20253","17352","2901"
