Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Arkansas"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
" -> Total","2999370","1471245","1528125"
" -> Total -> Total Arkansas","2999370","1471245","1528125"
"N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)","1347889","622854","725035"
"MGR-General And Operations Managers","7825","5540","2285"
"MGR-Chief Executives And Legislators","7482","5738","1744"
"MGR-Advertising And Promotions Managers","340","138","202"
"MGR-Marketing Managers","2470","748","1722"
"MGR-Sales Managers","3560","2376","1184"
"MGR-Public Relations And Fundraising Managers","371","144","227"
"MGR-Administrative Services Managers","468","59","409"
"MGR-Facilities Managers","560","403","157"
"MGR-Computer And Information Systems Managers","3019","2041","978"
"MGR-Financial Managers","8346","3051","5295"
"MGR-Industrial Production Managers","2811","2356","455"
"MGR-Purchasing Managers","1238","709","529"
"MGR-Transportation, Storage, And Distribution Managers","3184","2622","562"
"MGR-Compensation And Benefits Managers","118","56","62"
"MGR-Human Resources Managers","3332","1489","1843"
"MGR-Training And Development Managers","547","422","125"
"MGR-Farmers, Ranchers, And Other Agricultural Managers","13230","11273","1957"
"MGR-Construction Managers","6449","6129","320"
"MGR-Education And Childcare Administrators","9234","3701","5533"
"MGR-Architectural And Engineering Managers","795","699","96"
"MGR-Food Service Managers","10969","4775","6194"
"MGR-Entertainment And Recreation Managers","313","170","143"
"MGR-Lodging Managers","1767","633","1134"
"MGR-Medical And Health Services Managers","6921","1845","5076"
"MGR-Natural Sciences Managers","38","12","26"
"MGR-Property, Real Estate, And Community Association Managers","4960","2427","2533"
"MGR-Social And Community Service Managers","3099","1036","2063"
"MGR-Emergency Management Directors","78","78","0"
"MGR-Other Managers","31860","20525","11335"
"BUS-Agents And Business Managers Of Artists, Performers, And Athletes","214","151","63"
"BUS-Buyers And Purchasing Agents, Farm Products","85","60","25"
"BUS-Wholesale And Retail Buyers, Except Farm Products","2239","912","1327"
"BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products","2307","1293","1014"
"BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","2610","1339","1271"
"BUS-Compliance Officers","2031","1202","829"
"BUS-Cost Estimators","1089","932","157"
"BUS-Human Resources Workers","5940","1625","4315"
"BUS-Logisticians","1335","860","475"
