Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: California"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
" -> Total","39283497","19523445","19760052"
" -> Total -> Total California","39283497","19523445","19760052"
"N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)","16424141","7407006","9017135"
"MGR-General And Operations Managers","131219","86187","45032"
"MGR-Chief Executives And Legislators","206644","150908","55736"
"MGR-Advertising And Promotions Managers","7432","3458","3974"
"MGR-Marketing Managers","89760","38057","51703"
"MGR-Sales Managers","72167","47353","24814"
"MGR-Public Relations And Fundraising Managers","9438","3263","6175"
"MGR-Administrative Services Managers","8082","2526","5556"
"MGR-Facilities Managers","14436","10836","3600"
"MGR-Computer And Information Systems Managers","83843","58169","25674"
"MGR-Financial Managers","155538","74751","80787"
"MGR-Industrial Production Managers","34908","26101","8807"
"MGR-Purchasing Managers","25232","12151","13081"
"MGR-Transportation, Storage, And Distribution Managers","32059","25873","6186"
"MGR-Compensation And Benefits Managers","2051","883","1168"
"MGR-Human Resources Managers","54739","20561","34178"
"MGR-Training And Development Managers","6789","3312","3477"
"MGR-Farmers, Ranchers, And Other Agricultural Managers","49176","39421","9755"
"MGR-Construction Managers","104385","94586","9799"
"MGR-Education And Childcare Administrators","121945","39853","82092"
"MGR-Architectural And Engineering Managers","32799","29017","3782"
"MGR-Food Service Managers","130798","68935","61863"
"MGR-Entertainment And Recreation Managers","10202","5669","4533"
"MGR-Lodging Managers","21204","10641","10563"
"MGR-Medical And Health Services Managers","82982","26912","56070"
"MGR-Natural Sciences Managers","2774","1441","1333"
"MGR-Property, Real Estate, And Community Association Managers","116388","52455","63933"
"MGR-Social And Community Service Managers","52937","16725","36212"
"MGR-Emergency Management Directors","1132","702","430"
"MGR-Other Managers","577151","363794","213357"
"BUS-Agents And Business Managers Of Artists, Performers, And Athletes","11655","6441","5214"
"BUS-Buyers And Purchasing Agents, Farm Products","1034","749","285"
"BUS-Wholesale And Retail Buyers, Except Farm Products","31951","13887","18064"
"BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products","37486","16368","21118"
"BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","34517","13545","20972"
"BUS-Compliance Officers","33337","15946","17391"
"BUS-Cost Estimators","19775","16853","2922"
"BUS-Human Resources Workers","124713","32843","91870"
"BUS-Logisticians","18101","12058","6043"
"BUS-Project Management Specialists","92035","51450","40585"
"BUS-Management Analysts","134347","76992","57355"
"BUS-Meeting, Convention, And Event Planners","24457","6636","17821"
"BUS-Fundraisers","13557","4268","9289"
"BUS-Compensation, Benefits, And Job Analysis Specialists","7163","1730","5433"
"BUS-Training And Development Specialists","16723","7424","9299"
"BUS-Market Research Analysts And Marketing Specialists","58464","25242","33222"
"BUS-Business Operations Specialists, All Other","46416","23324","23092"
"FIN-Accountants And Auditors","283190","102969","180221"
"FIN-Property Appraisers And Assessors","12099","8480","3619"
"FIN-Budget Analysts","5604","2045","3559"
"FIN-Credit Analysts","2779","1223","1556"
"FIN-Financial And Investment Analysts","33878","18618","15260"
"FIN-Personal Financial Advisors","50072","34413","15659"
"FIN-Insurance Underwriters","12099","4438","7661"
"FIN-Financial Examiners","1273","752","521"
"FIN-Credit Counselors And Loan Officers","42927","20266","22661"
"FIN-Tax Examiners And Collectors, And Revenue Agents","8589","3202","5387"
"FIN-Tax Preparers","23447","9220","14227"
"FIN-Other Financial Specialists","9089","4677","4412"
"CMM-Computer Systems Analysts","74975","44763","30212"
"CMM-Information Security Analysts","9166","7370","1796"
"CMM-Computer And Information Research Scientists","5463","4153","1310"
"CMM-Computer Support Specialists","80170","62423","17747"
"CMM-Computer Network Architects","15033","13493","1540"
"CMM-Network And Computer Systems Administrators","23933","19160","4773"
"CMM-Database Administrators And Architects","15400","9782","5618"
"CMM-Computer Programmers","62038","49341","12697"
"CMM-Software Developers","289548","232474","57074"
"CMM-Software Quality Assurance Analysts And Testers","23161","13840","9321"
"CMM-Web Developers","19650","12594","7056"
"CMM-Web And Digital Interface Designers","12145","7006","5139"
"CMM-Computer Occupations, All Other","89493","68242","21251"
"CMM-Actuaries","1889","1114","775"
