Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Delaware"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
" -> Total","5610349","2823070","2787279"
" -> Total -> Total Colorado","5610349","2823070","2787279"
"N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)","2031758","935784","1095974"
"MGR-General And Operations Managers","27694","19268","8426"
"MGR-Chief Executives And Legislators","34699","26088","8611"
"MGR-Advertising And Promotions Managers","863","427","436"
"MGR-Marketing Managers","13876","5466","8410"
"MGR-Sales Managers","12711","8946","3765"
"MGR-Public Relations And Fundraising Managers","2040","561","1479"
"MGR-Administrative Services Managers","1186","329","857"
"MGR-Facilities Managers","2494","1987","507"
"MGR-Computer And Information Systems Managers","16592","11252","5340"
"MGR-Financial Managers","27177","12738","14439"
"MGR-Industrial Production Managers","4619","3539","1080"
"MGR-Purchasing Managers","5228","2908","2320"
"MGR-Transportation, Storage, And Distribution Managers","4771","3928","843"
"MGR-Compensation And Benefits Managers","344","85","259"
"MGR-Human Resources Managers","9204","3267","5937"
"MGR-Training And Development Managers","1891","1003","888"
"MGR-Farmers, Ranchers, And Other Agricultural Managers","13892","11271","2621"
"MGR-Construction Managers","23963","21802","2161"
"MGR-Education And Childcare Administrators","21113","7535","13578"
"MGR-Architectural And Engineering Managers","4347","4078","269"
"MGR-Food Service Managers","22436","11366","11070"
"MGR-Entertainment And Recreation Managers","1804","1225","579"
"MGR-Lodging Managers","5141","2413","2728"
"MGR-Medical And Health Services Managers","14883","4341","10542"
"MGR-Natural Sciences Managers","705","300","405"
"MGR-Property, Real Estate, And Community Association Managers","18368","9485","8883"
"MGR-Social And Community Service Managers","10305","2810","7495"
"MGR-Emergency Management Directors","322","270","52"
"MGR-Other Managers","102735","64811","37924"
"BUS-Agents And Business Managers Of Artists, Performers, And Athletes","1115","497","618"
"BUS-Buyers And Purchasing Agents, Farm Products","252","197","55"
"BUS-Wholesale And Retail Buyers, Except Farm Products","4685","2065","2620"
"BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products","5895","2529","3366"
"BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","7017","3258","3759"
"BUS-Compliance Officers","7066","3274","3792"
"BUS-Cost Estimators","4029","3433","596"
"BUS-Human Resources Workers","20184","6042","14142"
"BUS-Logisticians","3561","2849","712"
"BUS-Project Management Specialists","18695","9954","8741"
"BUS-Management Analysts","28552","16523","12029"
"BUS-Meeting, Convention, And Event Planners","4619","862","3757"
"BUS-Fundraisers","2821","1015","1806"
"BUS-Compensation, Benefits, And Job Analysis Specialists","1445","310","1135"
"BUS-Training And Development Specialists","3153","1665","1488"
"BUS-Market Research Analysts And Marketing Specialists","8754","3862","4892"
"BUS-Business Operations Specialists, All Other","8122","3894","4228"
"FIN-Accountants And Auditors","45465","16571","28894"
"FIN-Property Appraisers And Assessors","2356","1459","897"
"FIN-Budget Analysts","1603","547","1056"
"FIN-Credit Analysts","640","207","433"
"FIN-Financial And Investment Analysts","5305","3515","1790"
"FIN-Personal Financial Advisors","10567","7197","3370"
"FIN-Insurance Underwriters","2260","740","1520"
"FIN-Financial Examiners","228","83","145"
"FIN-Credit Counselors And Loan Officers","8211","3419","4792"
"FIN-Tax Examiners And Collectors, And Revenue Agents","709","277","432"
"FIN-Tax Preparers","3614","1278","2336"
"FIN-Other Financial Specialists","1428","699","729"
"CMM-Computer Systems Analysts","11968","7571","4397"
"CMM-Information Security Analysts","2890","2343","547"
"CMM-Computer And Information Research Scientists","651","472","179"
"CMM-Computer Support Specialists","20886","15558","5328"
"CMM-Computer Network Architects","3974","3603","371"
"CMM-Network And Computer Systems Administrators","6207","5204","1003"
"CMM-Database Administrators And Architects","4002","2744","1258"
"CMM-Computer Programmers","10650","8808","1842"
"CMM-Software Developers","44860","37410","7450"
"CMM-Software Quality Assurance Analysts And Testers","3553","2305","1248"
"CMM-Web Developers","3887","2637","1250"
"CMM-Web And Digital Interface Designers","2438","1571","867"
"CMM-Computer Occupations, All Other","18557","14138","4419"
"CMM-Actuaries","366","247","119"
