Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Missouri"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
" -> Total","6850572","3326486","3524086"
" -> Total -> Total Massachusetts","6850572","3326486","3524086"
"N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)","2461211","1119380","1341831"
"MGR-General And Operations Managers","25676","16984","8692"
"MGR-Chief Executives And Legislators","42807","31749","11058"
"MGR-Advertising And Promotions Managers","1473","540","933"
"MGR-Marketing Managers","20096","7581","12515"
"MGR-Sales Managers","14646","9481","5165"
"MGR-Public Relations And Fundraising Managers","2470","841","1629"
"MGR-Administrative Services Managers","2475","683","1792"
"MGR-Facilities Managers","3698","3107","591"
"MGR-Computer And Information Systems Managers","21577","15280","6297"
"MGR-Financial Managers","40458","19540","20918"
"MGR-Industrial Production Managers","6387","5214","1173"
"MGR-Purchasing Managers","5403","3204","2199"
"MGR-Transportation, Storage, And Distribution Managers","4992","4400","592"
"MGR-Compensation And Benefits Managers","516","119","397"
"MGR-Human Resources Managers","11175","4178","6997"
"MGR-Training And Development Managers","1722","947","775"
"MGR-Farmers, Ranchers, And Other Agricultural Managers","4025","2667","1358"
"MGR-Construction Managers","17270","15282","1988"
"MGR-Education And Childcare Administrators","35495","11699","23796"
"MGR-Architectural And Engineering Managers","6235","5482","753"
"MGR-Food Service Managers","24994","13481","11513"
"MGR-Entertainment And Recreation Managers","1486","860","626"
"MGR-Lodging Managers","3855","1890","1965"
"MGR-Medical And Health Services Managers","24159","6706","17453"
"MGR-Natural Sciences Managers","1305","601","704"
"MGR-Property, Real Estate, And Community Association Managers","16321","9448","6873"
"MGR-Social And Community Service Managers","14412","4258","10154"
"MGR-Emergency Management Directors","192","171","21"
"MGR-Other Managers","119154","72209","46945"
"BUS-Agents And Business Managers Of Artists, Performers, And Athletes","1186","429","757"
"BUS-Buyers And Purchasing Agents, Farm Products","168","127","41"
"BUS-Wholesale And Retail Buyers, Except Farm Products","5341","2396","2945"
"BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products","6799","3005","3794"
"BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","6822","2817","4005"
"BUS-Compliance Officers","7853","3650","4203"
"BUS-Cost Estimators","3064","2587","477"
"BUS-Human Resources Workers","25549","6812","18737"
"BUS-Logisticians","2633","2019","614"
"BUS-Project Management Specialists","21373","11791","9582"
"BUS-Management Analysts","37343","21109","16234"
"BUS-Meeting, Convention, And Event Planners","5704","1023","4681"
"BUS-Fundraisers","5395","1251","4144"
"BUS-Compensation, Benefits, And Job Analysis Specialists","1679","608","1071"
"BUS-Training And Development Specialists","3674","1423","2251"
"BUS-Market Research Analysts And Marketing Specialists","14910","5735","9175"
"BUS-Business Operations Specialists, All Other","10285","4454","5831"
"FIN-Accountants And Auditors","60612","26826","33786"
"FIN-Property Appraisers And Assessors","2751","1633","1118"
"FIN-Budget Analysts","1113","518","595"
"FIN-Credit Analysts","614","462","152"
"FIN-Financial And Investment Analysts","11113","7264","3849"
"FIN-Personal Financial Advisors","14765","10066","4699"
"FIN-Insurance Underwriters","2957","1201","1756"
"FIN-Financial Examiners","541","288","253"
"FIN-Credit Counselors And Loan Officers","7066","3733","3333"
"FIN-Tax Examiners And Collectors, And Revenue Agents","1711","532","1179"
"FIN-Tax Preparers","3822","1620","2202"
"FIN-Other Financial Specialists","2318","1044","1274"
"CMM-Computer Systems Analysts","19314","11798","7516"
"CMM-Information Security Analysts","3037","2269","768"
"CMM-Computer And Information Research Scientists","1859","1403","456"
"CMM-Computer Support Specialists","18190","13769","4421"
"CMM-Computer Network Architects","2751","2591","160"
"CMM-Network And Computer Systems Administrators","6164","4832","1332"
"CMM-Database Administrators And Architects","4145","2656","1489"
"CMM-Computer Programmers","13102","9664","3438"
"CMM-Software Developers","63632","51097","12535"
"CMM-Software Quality Assurance Analysts And Testers","4826","2707","2119"
"CMM-Web Developers","5306","3458","1848"
"CMM-Web And Digital Interface Designers","2174","972","1202"
"CMM-Computer Occupations, All Other","20424","14855","5569"
"CMM-Actuaries","1945","1170","775"
"CMM-Operations Research Analysts","3721","1792","1929"
"CMM-Other Mathematical Science Occupations","5331","2811","2520"
"ENG-Architects, Except Landscape And Naval","7747","5096","2651"
"ENG-Landscape Architects","1176","583","593"
"ENG-Surveyors, Cartographers, And Photogrammetrists","531","514","17"
"ENG-Aerospace Engineers","2711","2526","185"
"ENG-Chemical Engineers","2660","2027","633"
"ENG-Civil Engineers","12323","10292","2031"
"ENG-Computer Hardware Engineers","2146","1777","369"
"ENG-Electrical And Electronics Engineers","9550","8643","907"
"ENG-Environmental Engineers","789","600","189"
"ENG-Biomedical And Agricultural Engineers","939","687","252"
"ENG-Industrial Engineers, Including Health And Safety","7873","6249","1624"
"ENG-Marine Engineers And Naval Architects","330","285","45"
"ENG-Materials Engineers","1406","1173","233"
"ENG-Mechanical Engineers","7132","6377","755"
"ENG-Petroleum, Mining And Geological Engineers, Including Mining Safety Engineers","276","276","0"
"ENG-Other Engineers","23345","19737","3608"
"ENG-Architectural And Civil Drafters","1184","834","350"
"ENG-Other Drafters","2923","2480","443"
"ENG-Electrical and Electronic Engineering Technologists And Technicians","2424","2213","211"
"ENG-Other Engineering Technologists And Technicians, Except Drafters","8906","6557","2349"
"ENG-Surveying And Mapping Technicians","948","778","170"
"SCI-Agricultural And Food Scientists","511","313","198"
"SCI-Biological Scientists","4741","2387","2354"
"SCI-Conservation Scientists And Foresters","276","173","103"
"SCI-Other Life Scientists","14791","7542","7249"
"SCI-Astronomers And Physicists","454","407","47"
"SCI-Atmospheric And Space Scientists","156","82","74"
"SCI-Chemists And Materials Scientists","3981","2246","1735"
"SCI-Environmental Scientists And Specialists, Including Health","745","488","257"
"SCI-Geoscientists And Hydrologists, Except Geographers","1024","757","267"
"SCI-Physical Scientists, All Other","21727","12381","9346"
"SCI-Economists","948","721","227"
"SCI-Clinical And Counseling Psychologists","1602","716","886"
"SCI-School Psychologists","2410","389","2021"
"SCI-Other Psychologists","6706","1653","5053"
"SCI-Urban And Regional Planners","849","293","556"
"SCI-Other Social Scientists","1405","561","844"
"SCI-Agricultural And Food Science Technicians","654","360","294"
"SCI-Biological Technicians","1771","959","812"
"SCI-Chemical Technicians","1601","975","626"
"SCI-Environmental Science And Geoscience Technicians, And Nuclear Technicians","897","532","365"
"SCI-Other Life, Physical, And Social Science Technicians","12930","6227","6703"
"SCI-Occupational Health And Safety Specialists And Technicians","1515","867","648"
"CMS-Substance Abuse And Behavioral Disorder Counselors","4075","1028","3047"
"CMS-Educational, Guidance, And Career Counselors And Advisors","14219","3532","10687"
"CMS-Marriage And Family Therapists","1219","228","991"
"CMS-Mental Health Counselors","4317","1029","3288"
"CMS-Rehabilitation Counselors","1126","248","878"
"CMS-Counselors, All Other","10075","4003","6072"
"CMS-Child, Family, And School Social Workers","3335","603","2732"
"CMS-Healthcare Social Workers","2879","612","2267"
"CMS-Mental Health And Substance Abuse Social Workers","1235","280","955"
"CMS-Social Workers, All Other","24237","4662","19575"
"CMS-Probation Officers And Correctional Treatment Specialists","1628","706","922"
"CMS-Social And Human Service Assistants","8670","1890","6780"
"CMS-Other Community And Social Service Specialists","3396","1472","1924"
"CMS-Clergy","7460","5187","2273"
"CMS-Directors, Religious Activities And Education","1616","714","902"
"CMS-Religious Workers, All Other","1472","472","1000"
"LGL-Judicial Law Clerks","539","268","271"
"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers","40602","23294","17308"
