Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: New York"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
" -> Total","19572319","9502058","10070261"
" -> Total -> Total New York","19572319","9502058","10070261"
"N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)","7986233","3610922","4375311"
"MGR-General And Operations Managers","54008","35583","18425"
"MGR-Chief Executives And Legislators","98313","69622","28691"
"MGR-Advertising And Promotions Managers","7957","3637","4320"
"MGR-Marketing Managers","41076","14584","26492"
"MGR-Sales Managers","28317","17512","10805"
"MGR-Public Relations And Fundraising Managers","7166","1997","5169"
"MGR-Administrative Services Managers","4021","1574","2447"
"MGR-Facilities Managers","6852","5608","1244"
"MGR-Computer And Information Systems Managers","37335","27334","10001"
"MGR-Financial Managers","102629","52871","49758"
"MGR-Industrial Production Managers","11693","8477","3216"
"MGR-Purchasing Managers","11251","5919","5332"
"MGR-Transportation, Storage, And Distribution Managers","13335","10148","3187"
"MGR-Compensation And Benefits Managers","1102","223","879"
"MGR-Human Resources Managers","25795","9397","16398"
"MGR-Training And Development Managers","3145","1491","1654"
"MGR-Farmers, Ranchers, And Other Agricultural Managers","21377","16959","4418"
"MGR-Construction Managers","42731","38747","3984"
"MGR-Education And Childcare Administrators","81328","28384","52944"
"MGR-Architectural And Engineering Managers","7874","6874","1000"
"MGR-Food Service Managers","59726","35108","24618"
"MGR-Entertainment And Recreation Managers","3890","2113","1777"
"MGR-Lodging Managers","9129","3950","5179"
"MGR-Medical And Health Services Managers","51510","15768","35742"
"MGR-Natural Sciences Managers","1607","645","962"
"MGR-Property, Real Estate, And Community Association Managers","48725","33378","15347"
"MGR-Social And Community Service Managers","40073","13005","27068"
"MGR-Emergency Management Directors","649","439","210"
"MGR-Other Managers","255909","156160","99749"
"BUS-Agents And Business Managers Of Artists, Performers, And Athletes","7674","3596","4078"
"BUS-Buyers And Purchasing Agents, Farm Products","178","125","53"
"BUS-Wholesale And Retail Buyers, Except Farm Products","16022","6612","9410"
"BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products","15547","7648","7899"
"BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","20092","8177","11915"
"BUS-Compliance Officers","20356","9660","10696"
"BUS-Cost Estimators","6642","5455","1187"
"BUS-Human Resources Workers","57113","15806","41307"
"BUS-Logisticians","6456","4311","2145"
"BUS-Project Management Specialists","41574","23309","18265"
"BUS-Management Analysts","62269","35729","26540"
"BUS-Meeting, Convention, And Event Planners","12484","3227","9257"
"BUS-Fundraisers","10942","3035","7907"
"BUS-Compensation, Benefits, And Job Analysis Specialists","3648","951","2697"
"BUS-Training And Development Specialists","6854","3623","3231"
"BUS-Market Research Analysts And Marketing Specialists","30867","12674","18193"
"BUS-Business Operations Specialists, All Other","20159","9379","10780"
"FIN-Accountants And Auditors","151961","70595","81366"
"FIN-Property Appraisers And Assessors","4903","3040","1863"
"FIN-Budget Analysts","3851","1916","1935"
"FIN-Credit Analysts","2396","1325","1071"
"FIN-Financial And Investment Analysts","30790","21200","9590"
"FIN-Personal Financial Advisors","35626","26140","9486"
"FIN-Insurance Underwriters","7432","3479","3953"
"FIN-Financial Examiners","1714","940","774"
"FIN-Credit Counselors And Loan Officers","14338","6830","7508"
"FIN-Tax Examiners And Collectors, And Revenue Agents","5197","2297","2900"
"FIN-Tax Preparers","9094","4231","4863"
"FIN-Other Financial Specialists","5925","2999","2926"
"CMM-Computer Systems Analysts","37056","22910","14146"
"CMM-Information Security Analysts","4075","3413","662"
"CMM-Computer And Information Research Scientists","1916","1283","633"
"CMM-Computer Support Specialists","38973","29655","9318"
"CMM-Computer Network Architects","5224","4888","336"
"CMM-Network And Computer Systems Administrators","11945","9570","2375"
"CMM-Database Administrators And Architects","7153","4590","2563"
"CMM-Computer Programmers","32871","26215","6656"
"CMM-Software Developers","61742","51684","10058"
"CMM-Software Quality Assurance Analysts And Testers","4413","2804","1609"
"CMM-Web Developers","10316","6711","3605"
"CMM-Web And Digital Interface Designers","5872","3041","2831"
"CMM-Computer Occupations, All Other","46737","35340","11397"
"CMM-Actuaries","2510","1728","782"
"CMM-Operations Research Analysts","6370","2779","3591"
"CMM-Other Mathematical Science Occupations","6976","3865","3111"
"ENG-Architects, Except Landscape And Naval","19535","13197","6338"
"ENG-Landscape Architects","2794","1538","1256"
"ENG-Surveyors, Cartographers, And Photogrammetrists","1581","1066","515"
"ENG-Aerospace Engineers","2806","2449","357"
"ENG-Chemical Engineers","2564","2175","389"
"ENG-Civil Engineers","20958","17453","3505"
"ENG-Computer Hardware Engineers","3025","2549","476"
"ENG-Electrical And Electronics Engineers","12305","11074","1231"
"ENG-Environmental Engineers","2421","1868","553"
"ENG-Biomedical And Agricultural Engineers","755","728","27"
"ENG-Industrial Engineers, Including Health And Safety","9758","7561","2197"
"ENG-Marine Engineers And Naval Architects","217","211","6"
"ENG-Materials Engineers","2215","1776","439"
"ENG-Mechanical Engineers","12754","11920","834"
"ENG-Petroleum, Mining And Geological Engineers, Including Mining Safety Engineers","115","85","30"
"ENG-Other Engineers","28096","24203","3893"
"ENG-Architectural And Civil Drafters","2690","2003","687"
