Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Utah"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
" -> Total","3096848","1558869","1537979"
" -> Total -> Total Utah","3096848","1558869","1537979"
"N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)","1281119","586725","694394"
"MGR-General And Operations Managers","9801","7090","2711"
"MGR-Chief Executives And Legislators","14055","11512","2543"
"MGR-Advertising And Promotions Managers","245","149","96"
"MGR-Marketing Managers","6158","3117","3041"
"MGR-Sales Managers","6168","4664","1504"
"MGR-Public Relations And Fundraising Managers","835","387","448"
"MGR-Administrative Services Managers","775","444","331"
"MGR-Facilities Managers","1175","1116","59"
"MGR-Computer And Information Systems Managers","7273","5979","1294"
"MGR-Financial Managers","13654","7116","6538"
"MGR-Industrial Production Managers","3042","2309","733"
"MGR-Purchasing Managers","2885","1731","1154"
"MGR-Transportation, Storage, And Distribution Managers","2613","2024","589"
"MGR-Compensation And Benefits Managers","239","30","209"
"MGR-Human Resources Managers","4198","1954","2244"
"MGR-Training And Development Managers","755","419","336"
"MGR-Farmers, Ranchers, And Other Agricultural Managers","5163","4288","875"
"MGR-Construction Managers","8274","7962","312"
"MGR-Education And Childcare Administrators","9638","4332","5306"
"MGR-Architectural And Engineering Managers","1477","1399","78"
"MGR-Food Service Managers","10435","4694","5741"
"MGR-Entertainment And Recreation Managers","823","347","476"
"MGR-Lodging Managers","2417","1337","1080"
"MGR-Medical And Health Services Managers","6788","2685","4103"
"MGR-Natural Sciences Managers","285","265","20"
"MGR-Property, Real Estate, And Community Association Managers","7080","4076","3004"
"MGR-Social And Community Service Managers","3287","1470","1817"
"MGR-Emergency Management Directors","81","57","24"
"MGR-Other Managers","47072","31432","15640"
"BUS-Agents And Business Managers Of Artists, Performers, And Athletes","393","162","231"
"BUS-Buyers And Purchasing Agents, Farm Products","96","31","65"
"BUS-Wholesale And Retail Buyers, Except Farm Products","2075","920","1155"
"BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products","3154","1796","1358"
"BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","2128","1221","907"
"BUS-Compliance Officers","2774","1482","1292"
"BUS-Cost Estimators","2620","2300","320"
"BUS-Human Resources Workers","8047","2848","5199"
"BUS-Logisticians","2120","1377","743"
"BUS-Project Management Specialists","7327","4797","2530"
"BUS-Management Analysts","6977","4687","2290"
"BUS-Meeting, Convention, And Event Planners","1939","710","1229"
"BUS-Fundraisers","726","254","472"
"BUS-Compensation, Benefits, And Job Analysis Specialists","914","363","551"
"BUS-Training And Development Specialists","2692","1347","1345"
"BUS-Market Research Analysts And Marketing Specialists","3828","2153","1675"
"BUS-Business Operations Specialists, All Other","3932","2148","1784"
"FIN-Accountants And Auditors","20401","10156","10245"
"FIN-Property Appraisers And Assessors","1511","1089","422"
"FIN-Budget Analysts","585","281","304"
"FIN-Credit Analysts","284","74","210"
"FIN-Financial And Investment Analysts","2180","1590","590"
"FIN-Personal Financial Advisors","4160","3409","751"
"FIN-Insurance Underwriters","788","358","430"
"FIN-Financial Examiners","110","93","17"
"FIN-Credit Counselors And Loan Officers","6092","3147","2945"
"FIN-Tax Examiners And Collectors, And Revenue Agents","2502","513","1989"
"FIN-Tax Preparers","1282","435","847"
"FIN-Other Financial Specialists","715","406","309"
"CMM-Computer Systems Analysts","4673","3594","1079"
"CMM-Information Security Analysts","1073","1018","55"
"CMM-Computer And Information Research Scientists","311","224","87"
"CMM-Computer Support Specialists","9433","7293","2140"
"CMM-Computer Network Architects","978","931","47"
"CMM-Network And Computer Systems Administrators","2790","2461","329"
"CMM-Database Administrators And Architects","1489","1104","385"
"CMM-Computer Programmers","6760","6197","563"
"CMM-Software Developers","18535","16224","2311"
"CMM-Software Quality Assurance Analysts And Testers","1719","1320","399"
"CMM-Web Developers","3186","2379","807"
"CMM-Web And Digital Interface Designers","1058","640","418"
"CMM-Computer Occupations, All Other","9042","6286","2756"
"CMM-Actuaries","340","326","14"
