SOC_Codes_2018,Occupation,Female,Male,Total,ma,fe
MGR-General And Operations Managers,manager,0.276604428,0.723395572,9801,7090,2711
MGR-Chief Executives And Legislators,sheriff,0.180932053,0.819067947,14055,11512,2543
MGR-Advertising And Promotions Managers,manager,0.391836735,0.608163265,245,149,96
MGR-Marketing Managers,manager,0.493829165,0.506170835,6158,3117,3041
MGR-Sales Managers,salesperson,0.24383917,0.75616083,6168,4664,1504
MGR-Public Relations And Fundraising Managers,manager,0.536526946,0.463473054,835,387,448
MGR-Administrative Services Managers,manager,0.427096774,0.572903226,775,444,331
MGR-Facilities Managers,manager,0.050212766,0.949787234,1175,1116,59
MGR-Computer And Information Systems Managers,manager,0.177918328,0.822081672,7273,5979,1294
MGR-Financial Managers,comptroller,0.478834041,0.521165959,13654,7116,6538
MGR-Industrial Production Managers,manager,0.240959895,0.759040105,3042,2309,733
MGR-Purchasing Managers,manager,0.4,0.6,2885,1731,1154
"MGR-Transportation, Storage, And Distribution Managers",manager,0.225411405,0.774588595,2613,2024,589
MGR-Compensation And Benefits Managers,manager,0.874476987,0.125523013,239,30,209
MGR-Human Resources Managers,manager,0.534540257,0.465459743,4198,1954,2244
MGR-Training And Development Managers,manager,0.445033113,0.554966887,755,419,336
"MGR-Farmers, Ranchers, And Other Agricultural Managers",farmer,0.169475111,0.830524889,5163,4288,875
MGR-Construction Managers,manager,0.037708484,0.962291516,8274,7962,312
MGR-Education And Childcare Administrators,administrator,0.550529155,0.449470845,9638,4332,5306
MGR-Architectural And Engineering Managers,architect,0.052809749,0.947190251,1477,1399,78
MGR-Food Service Managers,manager,0.550167705,0.449832295,10435,4694,5741
MGR-Entertainment And Recreation Managers,manager,0.57837181,0.42162819,823,347,476
MGR-Lodging Managers,manager,0.446834919,0.553165081,2417,1337,1080
MGR-Medical And Health Services Managers,manager,0.604449028,0.395550972,6788,2685,4103
MGR-Natural Sciences Managers,manager,0.070175439,0.929824561,285,265,20
"MGR-Property, Real Estate, And Community Association Managers",manager,0.424293785,0.575706215,7080,4076,3004
MGR-Social And Community Service Managers,manager,0.552783693,0.447216307,3287,1470,1817
MGR-Emergency Management Directors,director,0.296296296,0.703703704,81,57,24
"BUS-Agents And Business Managers Of Artists, Performers, And Athletes",manager,0.58778626,0.41221374,393,162,231
"BUS-Buyers And Purchasing Agents, Farm Products",buyer,0.677083333,0.322916667,96,31,65
"BUS-Wholesale And Retail Buyers, Except Farm Products",buyer,0.556626506,0.443373494,2075,920,1155
