Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: West Virginia"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
" -> Total","1817305","898533","918772"
" -> Total -> Total West Virginia","1817305","898533","918772"
"N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)","842492","390187","452305"
"MGR-General And Operations Managers","5159","3863","1296"
"MGR-Chief Executives And Legislators","4674","3383","1291"
"MGR-Advertising And Promotions Managers","205","29","176"
"MGR-Marketing Managers","1210","451","759"
"MGR-Sales Managers","1468","969","499"
"MGR-Public Relations And Fundraising Managers","140","40","100"
"MGR-Administrative Services Managers","183","51","132"
"MGR-Facilities Managers","349","237","112"
"MGR-Computer And Information Systems Managers","1673","993","680"
"MGR-Financial Managers","4197","1636","2561"
"MGR-Industrial Production Managers","1180","959","221"
"MGR-Purchasing Managers","1156","769","387"
"MGR-Transportation, Storage, And Distribution Managers","1282","952","330"
"MGR-Compensation And Benefits Managers","21","0","21"
"MGR-Human Resources Managers","1746","840","906"
"MGR-Training And Development Managers","364","249","115"
"MGR-Farmers, Ranchers, And Other Agricultural Managers","2483","2058","425"
"MGR-Construction Managers","2412","2326","86"
"MGR-Education And Childcare Administrators","4893","2119","2774"
"MGR-Architectural And Engineering Managers","443","431","12"
"MGR-Food Service Managers","5409","2386","3023"
"MGR-Entertainment And Recreation Managers","322","109","213"
"MGR-Lodging Managers","422","191","231"
"MGR-Medical And Health Services Managers","4405","1315","3090"
"MGR-Natural Sciences Managers","59","24","35"
"MGR-Property, Real Estate, And Community Association Managers","2765","1448","1317"
"MGR-Social And Community Service Managers","2159","744","1415"
"MGR-Emergency Management Directors","50","50","0"
"MGR-Other Managers","16708","10976","5732"
"BUS-Agents And Business Managers Of Artists, Performers, And Athletes","112","112","0"
"BUS-Buyers And Purchasing Agents, Farm Products","0","0","0"
"BUS-Wholesale And Retail Buyers, Except Farm Products","1305","732","573"
"BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products","1434","668","766"
"BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","1416","451","965"
"BUS-Compliance Officers","1766","1294","472"
"BUS-Cost Estimators","347","314","33"
"BUS-Human Resources Workers","2865","884","1981"
"BUS-Logisticians","336","238","98"
"BUS-Project Management Specialists","2564","1579","985"
"BUS-Management Analysts","2407","1358","1049"
"BUS-Meeting, Convention, And Event Planners","292","63","229"
"BUS-Fundraisers","371","181","190"
"BUS-Compensation, Benefits, And Job Analysis Specialists","283","72","211"
"BUS-Training And Development Specialists","745","203","542"
"BUS-Market Research Analysts And Marketing Specialists","383","109","274"
"BUS-Business Operations Specialists, All Other","1718","565","1153"
"FIN-Accountants And Auditors","7648","2787","4861"
"FIN-Property Appraisers And Assessors","999","622","377"
"FIN-Budget Analysts","277","9","268"
"FIN-Credit Analysts","118","59","59"
"FIN-Financial And Investment Analysts","423","141","282"
"FIN-Personal Financial Advisors","799","572","227"
"FIN-Insurance Underwriters","275","105","170"
"FIN-Financial Examiners","94","62","32"
"FIN-Credit Counselors And Loan Officers","1422","443","979"
"FIN-Tax Examiners And Collectors, And Revenue Agents","606","201","405"
"FIN-Tax Preparers","622","95","527"
"FIN-Other Financial Specialists","258","66","192"
"CMM-Computer Systems Analysts","1703","763","940"
"CMM-Information Security Analysts","527","405","122"
"CMM-Computer And Information Research Scientists","28","12","16"
"CMM-Computer Support Specialists","2696","1828","868"
"CMM-Computer Network Architects","353","319","34"
"CMM-Network And Computer Systems Administrators","1072","862","210"
"CMM-Database Administrators And Architects","514","390","124"
"CMM-Computer Programmers","1323","1113","210"
"CMM-Software Developers","1856","1328","528"
"CMM-Software Quality Assurance Analysts And Testers","143","115","28"
"CMM-Web Developers","174","96","78"
"CMM-Web And Digital Interface Designers","236","107","129"
"CMM-Computer Occupations, All Other","4123","2961","1162"
"CMM-Actuaries","16","16","0"
"CMM-Operations Research Analysts","688","282","406"
"CMM-Other Mathematical Science Occupations","116","29","87"
"ENG-Architects, Except Landscape And Naval","218","180","38"
"ENG-Landscape Architects","154","85","69"
"ENG-Surveyors, Cartographers, And Photogrammetrists","361","336","25"
"ENG-Aerospace Engineers","208","156","52"
"ENG-Chemical Engineers","825","713","112"
"ENG-Civil Engineers","1775","1587","188"
"ENG-Computer Hardware Engineers","120","101","19"
"ENG-Electrical And Electronics Engineers","542","504","38"
"ENG-Environmental Engineers","196","175","21"
"ENG-Biomedical And Agricultural Engineers","15","0","15"
"ENG-Industrial Engineers, Including Health And Safety","765","708","57"
"ENG-Marine Engineers And Naval Architects","64","64","0"
"ENG-Materials Engineers","0","0","0"
"ENG-Mechanical Engineers","640","631","9"
"ENG-Petroleum, Mining And Geological Engineers, Including Mining Safety Engineers","588","524","64"
"ENG-Other Engineers","1965","1688","277"
"ENG-Architectural And Civil Drafters","180","176","4"
"ENG-Other Drafters","673","602","71"
"ENG-Electrical and Electronic Engineering Technologists And Technicians","575","496","79"
"ENG-Other Engineering Technologists And Technicians, Except Drafters","1697","1285","412"
"ENG-Surveying And Mapping Technicians","1146","1083","63"
"SCI-Agricultural And Food Scientists","56","28","28"
"SCI-Biological Scientists","331","182","149"
"SCI-Conservation Scientists And Foresters","294","207","87"
"SCI-Other Life Scientists","372","186","186"
"SCI-Astronomers And Physicists","0","0","0"
"SCI-Atmospheric And Space Scientists","38","38","0"
"SCI-Chemists And Materials Scientists","328","182","146"
"SCI-Environmental Scientists And Specialists, Including Health","224","187","37"
"SCI-Geoscientists And Hydrologists, Except Geographers","283","205","78"
"SCI-Physical Scientists, All Other","948","448","500"
"SCI-Economists","255","123","132"
"SCI-Clinical And Counseling Psychologists","64","0","64"
"SCI-School Psychologists","286","85","201"
"SCI-Other Psychologists","715","107","608"
"SCI-Urban And Regional Planners","84","34","50"
"SCI-Other Social Scientists","309","85","224"
"SCI-Agricultural And Food Science Technicians","236","75","161"
"SCI-Biological Technicians","185","182","3"
"SCI-Chemical Technicians","703","531","172"
"SCI-Environmental Science And Geoscience Technicians, And Nuclear Technicians","386","386","0"
"SCI-Other Life, Physical, And Social Science Technicians","1750","1034","716"
"SCI-Occupational Health And Safety Specialists And Technicians","508","331","177"
"CMS-Substance Abuse And Behavioral Disorder Counselors","639","265","374"
"CMS-Educational, Guidance, And Career Counselors And Advisors","2341","665","1676"
"CMS-Marriage And Family Therapists","97","47","50"
"CMS-Mental Health Counselors","766","313","453"
"CMS-Rehabilitation Counselors","122","0","122"
"CMS-Counselors, All Other","1418","521","897"
"CMS-Child, Family, And School Social Workers","784","197","587"
"CMS-Healthcare Social Workers","694","174","520"
"CMS-Mental Health And Substance Abuse Social Workers","136","63","73"
"CMS-Social Workers, All Other","4304","875","3429"
"CMS-Probation Officers And Correctional Treatment Specialists","453","227","226"
"CMS-Social And Human Service Assistants","1811","480","1331"
"CMS-Other Community And Social Service Specialists","427","185","242"
"CMS-Clergy","4267","3656","611"
"CMS-Directors, Religious Activities And Education","336","97","239"
"CMS-Religious Workers, All Other","370","175","195"
"LGL-Judicial Law Clerks","159","86","73"
"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers","4430","2765","1665"
"LGL-Paralegals And Legal Assistants","2135","227","1908"
"LGL-Title Examiners, Abstractors, And Searchers","961","288","673"
"LGL-Legal Support Workers, All Other","418","141","277"
"EDU-Postsecondary Teachers","8190","4182","4008"
"EDU-Preschool And Kindergarten Teachers","2753","68","2685"
"EDU-Elementary And Middle School Teachers","24085","4221","19864"
"EDU-Secondary School Teachers","5606","2306","3300"
"EDU-Special Education Teachers","2128","404","1724"
"EDU-Tutors","878","338","540"
"EDU-Other Teachers And Instructors","3769","1601","2168"
"EDU-Archivists, Curators, And Museum Technicians","268","74","194"
"EDU-Librarians And Media Collections Specialists","780","119","661"
"EDU-Library Technicians","207","130","77"
"EDU-Teaching Assistants","6445","658","5787"
"EDU-Other Educational Instruction and Library Workers","562","114","448"
"ENT-Artists And Related Workers","690","273","417"
"ENT-Commercial And Industrial Designers","0","0","0"
"ENT-Fashion Designers","65","21","44"
"ENT-Floral Designers","387","90","297"
"ENT-Graphic Designers","812","420","392"
"ENT-Interior Designers","329","58","271"
"ENT-Merchandise Displayers And Window Trimmers","149","19","130"
"ENT-Other Designers","994","658","336"
"ENT-Actors","107","36","71"
"ENT-Producers And Directors","313","219","94"
"ENT-Athletes And Sports Competitors","200","165","35"
"ENT-Coaches And Scouts","1371","951","420"
"ENT-Umpires, Referees, And Other Sports Officials","206","173","33"
"ENT-Dancers And Choreographers","168","45","123"
"ENT-Music Directors And Composers","129","39","90"
"ENT-Musicians And Singers","684","466","218"
"ENT-Disc Jockeys, Except Radio","18","18","0"
"ENT-Entertainers And Performers, Sports And Related Workers, All Other","151","119","32"
"ENT-Broadcast Announcers And Radio Disc Jockeys","139","98","41"
"ENT-News Analysts, Reporters, And Journalists","446","244","202"
"ENT-Public Relations Specialists","548","277","271"
"ENT-Editors","349","113","236"
"ENT-Technical Writers","415","317","98"
"ENT-Writers And Authors","838","304","534"
"ENT-Interpreters And Translators","425","25","400"
"ENT-Court Reporters And Simultaneous Captioners","255","23","232"
"ENT-Media And Communication Workers, All Other","51","49","2"
"ENT-Photographers","976","359","617"
"ENT-Television, Video, And Film Camera Operators And Editors","130","114","16"
"ENT-Other Media And Communication Equipment Workers","268","249","19"
"MED-Chiropractors","356","275","81"
"MED-Dentists","797","519","278"
"MED-Dietitians And Nutritionists","570","9","561"
"MED-Optometrists","97","39","58"
"MED-Pharmacists","2615","1435","1180"
"MED-Physician Assistants","860","172","688"
"MED-Podiatrists","16","16","0"
"MED-Occupational Therapists","687","88","599"
"MED-Physical Therapists","1457","563","894"
"MED-Radiation Therapists","202","29","173"
"MED-Recreational Therapists","0","0","0"
"MED-Respiratory Therapists","1472","754","718"
"MED-Speech-Language Pathologists","776","36","740"
"MED-Other Therapists","1169","313","856"
"MED-Veterinarians","406","72","334"
"MED-Registered Nurses","22418","2398","20020"
"MED-Nurse Anesthetists","535","242","293"
"MED-Audiologists","206","0","206"
"MED-Nurse Practitioners, And Nurse Midwives","1351","118","1233"
"MED-Physicians","4340","3002","1338"
"MED-Surgeons","336","336","0"
"MED-Acupuncturists","0","0","0"
"MED-Dental Hygienists","1147","33","1114"
"MED-Healthcare Diagnosing Or Treating Practitioners, All Other","0","0","0"
"MED-Clinical Laboratory Technologists And Technicians","2223","580","1643"
"MED-Cardiovascular Technologists And Technicians","478","164","314"
"MED-Diagnostic Medical Sonographers","829","150","679"
"MED-Radiologic Technologists And Technicians","1662","243","1419"
"MED-Magnetic Resonance Imaging Technologists","304","92","212"
"MED-Nuclear Medicine Technologists And Medical Dosimetrists","221","103","118"
"MED-Emergency Medical Technicians","1328","771","557"
"MED-Paramedics","1562","1118","444"
"MED-Pharmacy Technicians","3791","278","3513"
"MED-Psychiatric Technicians","419","134","285"
"MED-Surgical Technologists","952","232","720"
"MED-Veterinary Technologists And Technicians","975","142","833"
"MED-Dietetic Technicians And Ophthalmic Medical Technicians","169","15","154"
"MED-Licensed Practical And Licensed Vocational Nurses","9368","865","8503"
"MED-Medical Records Specialists","1605","177","1428"
"MED-Opticians, Dispensing","289","0","289"
"MED-Miscellaneous Health Technologists And Technicians","1101","253","848"
"MED-Other Healthcare Practitioners And Technical Occupations","733","361","372"
"HLS-Home Health Aides","4620","380","4240"
"HLS-Personal Care Aides","14553","2100","12453"
"HLS-Nursing Assistants","11503","866","10637"
"HLS-Orderlies And Psychiatric Aides","901","494","407"
"HLS-Occupational Therapy Assistants And Aides","179","57","122"
"HLS-Physical Therapist Assistants And Aides","911","418","493"
"HLS-Massage Therapists","787","71","716"
"HLS-Dental Assistants","1243","121","1122"
"HLS-Medical Assistants","3706","417","3289"
"HLS-Medical Transcriptionists","349","62","287"
"HLS-Pharmacy Aides","140","57","83"
"HLS-Veterinary Assistants And Laboratory Animal Caretakers","456","50","406"
"HLS-Phlebotomists","1087","37","1050"
"HLS-Other Healthcare Support Workers","1181","365","816"
"PRT-First-Line Supervisors Of Correctional Officers","704","509","195"
"PRT-First-Line Supervisors Of Police And Detectives","468","413","55"
"PRT-First-Line Supervisors Of Firefighting And Prevention Workers","487","487","0"
"PRT-Miscellaneous First-Line Supervisors, Protective Service Workers","691","484","207"
"PRT-Firefighters","1385","1281","104"
"PRT-Fire Inspectors","176","176","0"
"PRT-Bailiffs","361","305","56"
"PRT-Correctional Officers And Jailers","3492","3072","420"
"PRT-Detectives And Criminal Investigators","986","726","260"
"PRT-Police Officers","5429","5129","300"
"PRT-Fish And Game Wardens And Parking Enforcement Officers","0","0","0"
"PRT-Animal Control Workers","104","104","0"
"PRT-Private Detectives And Investigators","570","431","139"
"PRT-Security Guards And Gambling Surveillance Officers","6423","5443","980"
"PRT-Crossing Guards And Flaggers","906","493","413"
"PRT-Transportation Security Screeners","156","97","59"
"PRT-School Bus Monitors","172","50","122"
"PRT-Other Protective Service Workers","1985","1110","875"
"EAT-Chefs And Head Cooks","1373","1089","284"
"EAT-First-Line Supervisors Of Food Preparation And Serving Workers","4606","1701","2905"
"EAT-Cooks","21942","10252","11690"
"EAT-Food Preparation Workers","6954","2615","4339"
"EAT-Bartenders","2462","953","1509"
"EAT-Fast Food And Counter Workers","5732","2161","3571"
"EAT-Waiters And Waitresses","13865","2806","11059"
"EAT-Food Servers, Nonrestaurant","1143","466","677"
"EAT-Dining Room And Cafeteria Attendants And Bartender Helpers","1540","984","556"
"EAT-Dishwashers","3214","2547","667"
"EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop","2407","383","2024"
"EAT-Food Preparation And Serving Related Workers, All Other","104","50","54"
"CLN-First-Line Supervisors Of Housekeeping And Janitorial Workers","1704","1176","528"
"CLN-First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers","1378","1375","3"
"CLN-Maids And Housekeeping Cleaners","9863","1365","8498"
"CLN-Janitors And Building Cleaners","21064","14154","6910"
"CLN-Pest Control Workers","399","352","47"
"CLN-Landscaping And Groundskeeping Workers","8805","7990","815"
"CLN-Tree Trimmers And Pruners","753","679","74"
"CLN-Other Grounds Maintenance Workers","293","293","0"
"PRS-Supervisors of Personal Care And Service Workers","553","266","287"
"PRS-Animal Trainers","402","139","263"
"PRS-Animal Caretakers","1478","220","1258"
"PRS-Gambling Services Workers","762","376","386"
"PRS-Ushers, Lobby Attendants, And Ticket Takers","371","221","150"
"PRS-Other Entertainment Attendants And Related Workers","1828","781","1047"
"PRS-Morticians, Undertakers, And Funeral Arrangers","481","444","37"
"PRS-Embalmers, Crematory Operators And Funeral Attendants","395","333","62"
"PRS-Barbers","664","581","83"
"PRS-Hairdressers, Hairstylists, And Cosmetologists","4658","245","4413"
"PRS-Manicurists and Pedicurists","525","171","354"
"PRS-Skincare Specialists","105","0","105"
"PRS-Other Personal Appearance Workers","35","0","35"
"PRS-Baggage Porters, Bellhops, And Concierges","178","108","70"
"PRS-Tour And Travel Guides","652","360","292"
"PRS-Childcare Workers","7273","494","6779"
"PRS-Exercise Trainers And Group Fitness Instructors","950","380","570"
"PRS-Recreation Workers","1592","509","1083"
"PRS-Residential Advisors","681","514","167"
"PRS-Personal Care And Service Workers, All Other","981","515","466"
"SAL-First-Line Supervisors Of Retail Sales Workers","21327","11132","10195"
"SAL-First-Line Supervisors Of Non-Retail Sales Workers","4814","3799","1015"
"SAL-Cashiers","35904","8575","27329"
"SAL-Counter And Rental Clerks","558","308","250"
"SAL-Parts Salespersons","1141","1104","37"
"SAL-Retail Salespersons","21499","9840","11659"
"SAL-Advertising Sales Agents","419","168","251"
"SAL-Insurance Sales Agents","3324","1776","1548"
