Census year,Occupation,Total Weight,Female,Male,,,,
2007,judge,1128029,0.337324661,0.662675339,,,,
1990,bookbinder,37767,0.559191887,0.440808113,,,,
1960,salesperson,402520,0.367683593,0.632316407,,,,
2000,broker,2202877,0.568765755,0.431234245,,,,
2007,dancer,27296,0.792423798,0.207576202,,,,
2005,technician,2750147,0.57232068,0.42767932,,,,
2008,mechanic,12957943,0.250762254,0.749237746,,,,
2000,salesperson,2601530,0.452303452,0.547696548,,,,
2001,conservationist,47645,0.132794627,0.867205373,,,,
1940,photographer,37344,0.087751714,0.912248286,,,,
2007,optometrist,38332,0.336403005,0.663596995,,,,
1960,official,5437060,0.170680478,0.829319522,,,,
1950,author,15747,0.363243792,0.636756208,,,,
2008,housekeeper,156346,0.791507298,0.208492702,,,,
1900,official,1409030.73,0.068380986,0.931619014,,,,
2015,bankteller,430230,0.854075727,0.145924273,,,,
1950,guard,269821,0.020257875,0.979742125,,,,
1880,waitstaff,37214.1,0.242109577,0.757890423,,,,
2000,economist,136159,0.475671825,0.524328175,,,,
2005,draftsperson,230541,0.193197739,0.806802261,,,,
2008,smith,163705,0.041348768,0.958651232,,,,
1920,millwright,37806.32,0.007947613,0.992052387,,,,
1950,clerical,3154631,0.492808826,0.507191174,,,,
2006,therapist,660748,0.781226731,0.218773269,,,,
1970,optometrist,35800,0.053072626,0.946927374,,,,
2013,cabinetmaker,70024,0.058022964,0.941977036,,,,
1980,fireperson,416140,0.02758687,0.97241313,,,,
2004,nutritionist,91111,0.907859644,0.092140356,,,,
2001,therapist,562223,0.779206827,0.220793173,,,,
2001,laborer,6867471,0.17014342,0.82985658,,,,
1930,teacher,1068350.09,0.811607354,0.188392646,,,,
2011,accountant,2447898,0.597791248,0.402208752,,,,
1960,cashier,827100,0.846499819,0.153500181,,,,
2002,compositor,87318,0.463478321,0.536521679,,,,
1930,official,3193972.91,0.081410008,0.918589992,,,,
1980,carpenter,1558900,0.018230804,0.981769196,,,,
1910,physicist,100,0,1,,,,
1990,waitstaff,2047471,0.825758704,0.174241296,,,,
2004,instructor,1380024,0.476801853,0.523198147,,,,
2004,cashier,4480722,0.774985147,0.225014853,,,,
1970,lumberjack,264500,0.10094518,0.89905482,,,,
2010,weaver,14695,0.569853692,0.430146308,,,,
1950,bailiff,20117,0.057612964,0.942387036,,,,
2007,cashier,4884835,0.765160543,0.234839457,,,,
1990,laborer,7676001,0.187408261,0.812591739,,,,
2009,cook,5365084,0.4963214,0.5036786,,,,
1880,plasterer,25290.92,0.000580445,0.999419555,,,,
2010,paperhanger,8270,0.266142684,0.733857316,,,,
1980,artist,180120,0.508994004,0.491005996,,,,
1920,cashier,84521.79,0.679066191,0.320933809,,,,
2001,photographer,215623,0.437202896,0.562797104,,,,
2000,setter,143377,0.033052721,0.966947279,,,,
2003,upholsterer,68430,0.244293439,0.755706561,,,,
1870,author,511.66,0.374213345,0.625786655,,,,
1960,plasterer,60120,0.002661344,0.997338656,,,,
1960,artist,130740,0.465351078,0.534648922,,,,
2011,draftsperson,210302,0.180811405,0.819188595,,,,
2005,paperhanger,13017,0.32795575,0.67204425,,,,
2015,physician,979939,0.349350317,0.650649683,,,,
2014,engineer,3309479,0.207307555,0.792692445,,,,
2001,mason,224052,0.003048399,0.996951601,,,,
2006,painter,254818,0.157649774,0.842350226,,,,
1910,attendant,44333,0.506710577,0.493289423,,,,
2008,author,232956,0.591686842,0.408313158,,,,
2007,fireperson,423384,0.055292595,0.944707405,,,,
2012,shoemaker,227009,0.053773198,0.946226802,,,,
2000,proprietor,18425081,0.388288551,0.611711449,,,,
2015,doctor,979939,0.349350317,0.650649683,,,,
1920,sales,1694446.49,0.297223325,0.702776675,,,,
2003,porter,79292,0.145954195,0.854045805,,,,
1970,scientist,484200,0.173482032,0.826517968,,,,
2008,weaver,18390,0.625285481,0.374714519,,,,
